Age,Income,Expenses,CIBIL_Score,Experience,Employment_Stability,Employment_Type,Loan_Type,Purpose,Education,Loan_Amount,Loan_Tenure,Collateral,Insurance,Tax_History,Residence_Type,Interest_Rate,Residence,Total_Debt,Salary_Growth,Loan_Eligibility,Total_Assets
64,77616.0,67403.0,828,0,Permanent,Self-Employed,Home Loan,Car Purchase,PhD,3150678,28,Yes,Yes,Good,Rented,12.86,Semi-Urban,807557.0,4.71,Not Eligible,582773.48
50,43831.5,61527.2,834,6,Permanent,Salaried,Car Loan,Medical Emergency,High School,716193,16,Yes,Yes,Good,Rented,6.96,Rural,257511.5,11.75,Eligible,427436.4
58,243723.0,26469.1,767,19,Permanent,Salaried,Personal Loan,Business Expansion,Bachelor's,1920911,21,Yes,Yes,Good,Rented,6.64,Rural,299247.0,9.13,Eligible,1653955.29
22,31576.5,50210.3,738,5,Permanent,Salaried,Personal Loan,Car Purchase,Master's,709732,2,Yes,Yes,Good,Company Provided,7.09,Semi-Urban,8229.0,13.05,Eligible,127537.02
41,130529.0,65686.0,403,35,Permanent,Salaried,Personal Loan,Education,Master's,605592,26,No,No,Average,Owned,7.26,Urban,906793.0,8.37,Not Eligible,950431.57
53,145377.0,6658.4,810,20,Permanent,Salaried,Home Loan,Medical Emergency,Master's,4195039,22,Yes,Yes,Good,Rented,11.74,Rural,86464.0,12.01,Eligible,1348140.33
32,147174.0,19366.2,736,34,Permanent,Salaried,Car Loan,Medical Emergency,High School,967306,3,Yes,Yes,Good,Company Provided,11.39,Urban,436161.0,6.2,Eligible,716857.53
42,213339.0,15140.999999999998,708,35,Permanent,Salaried,Education Loan,Car Purchase,Bachelor's,392070,28,Yes,Yes,Good,Company Provided,6.29,Urban,208649.0,9.83,Eligible,878698.83
64,64757.0,79519.0,743,7,Permanent,Business Owner,Education Loan,Medical Emergency,Bachelor's,726848,16,No,Yes,Good,Rented,12.24,Rural,811612.0,10.31,Not Eligible,630217.35
45,211512.0,3945.2,750,3,Permanent,Salaried,Car Loan,Medical Emergency,Bachelor's,816457,26,Yes,Yes,Good,Rented,8.49,Rural,223999.0,11.87,Eligible,1720098.96
47,227068.5,6142.5,782,15,Permanent,Salaried,Personal Loan,Education,Master's,635349,10,Yes,Yes,Good,Rented,9.57,Urban,86416.0,12.39,Eligible,544561.545
62,115333.5,51069.9,777,2,Permanent,Salaried,Education Loan,Education,PhD,756726,29,Yes,Yes,Good,Rented,6.25,Urban,110982.0,5.59,Eligible,748452.465
48,83916.0,48713.7,808,6,Permanent,Salaried,Personal Loan,Business Expansion,Master's,1168851,29,Yes,Yes,Good,Company Provided,12.09,Rural,170280.0,7.01,Eligible,325212.045
36,119555.0,83561.0,341,1,Permanent,Salaried,Car Loan,Education,Bachelor's,580426,9,No,Yes,Good,Rented,8.76,Semi-Urban,721885.0,4.69,Not Eligible,513432.7
35,87201.0,55871.2,846,0,Permanent,Salaried,Home Loan,Business Expansion,High School,3283763,14,Yes,Yes,Good,Owned,11.32,Rural,498696.0,11.72,Eligible,235503.21
64,267592.5,11445.7,789,0,Permanent,Salaried,Personal Loan,Education,Bachelor's,1820896,25,Yes,Yes,Good,Owned,9.27,Semi-Urban,496051.5,5.52,Eligible,1029686.67
23,45954.0,60184.0,763,37,Permanent,Self-Employed,Home Loan,Business Expansion,Master's,3226986,8,Yes,No,Good,Rented,5.49,Urban,861317.0,7.08,Not Eligible,277645.6
57,109959.0,74180.0,748,6,New Joining,Self-Employed,Home Loan,Education,PhD,4262165,2,No,Yes,Good,Rented,12.03,Urban,373832.0,12.44,Not Eligible,289028.05
27,37488.0,60674.6,845,23,Permanent,Salaried,Car Loan,Education,Bachelor's,854661,11,Yes,Yes,Good,Company Provided,10.53,Urban,33605.5,6.42,Eligible,341798.715
41,21961.0,78309.0,830,4,Permanent,Salaried,Car Loan,Car Purchase,PhD,867025,2,Yes,No,Good,Owned,9.34,Rural,629018.0,5.79,Not Eligible,180151.0
29,48745.5,69301.4,733,20,Permanent,Salaried,Home Loan,Education,Bachelor's,3110021,27,Yes,Yes,Good,Owned,7.02,Semi-Urban,16553.0,10.47,Eligible,246216.03
59,275434.5,11044.6,749,27,Permanent,Salaried,Home Loan,Business Expansion,PhD,2197470,15,Yes,Yes,Good,Company Provided,11.24,Rural,364014.0,14.68,Eligible,837822.375
38,49882.5,12250.7,828,17,Permanent,Salaried,Education Loan,Car Purchase,PhD,760701,18,Yes,Yes,Good,Rented,7.75,Urban,13603.0,2.81,Eligible,496419.87
24,155639.0,7108.0,729,23,Permanent,Business Owner,Education Loan,Business Expansion,Bachelor's,232460,5,No,Yes,Good,Company Provided,9.29,Rural,541541.0,12.85,Not Eligible,1012657.9
45,103270.5,69933.5,735,31,Permanent,Salaried,Car Loan,Education,High School,506719,28,Yes,Yes,Good,Company Provided,5.56,Semi-Urban,108956.0,3.58,Eligible,555987.9450000001
34,199075.0,41382.0,403,32,Permanent,Self-Employed,Personal Loan,Education,Master's,1847435,26,Yes,No,Average,Owned,12.77,Rural,925438.0,6.48,Not Eligible,714502.82
29,60583.5,67447.8,743,9,Permanent,Salaried,Home Loan,Business Expansion,Master's,3165778,25,Yes,Yes,Good,Company Provided,5.9,Rural,378044.0,7.42,Eligible,219659.58
46,293392.5,56550.9,849,8,Permanent,Salaried,Personal Loan,Medical Emergency,Bachelor's,1712773,7,Yes,Yes,Good,Owned,13.91,Semi-Urban,174949.0,11.34,Eligible,2455599.36
22,215703.0,19838.7,776,32,Permanent,Salaried,Home Loan,Car Purchase,PhD,1986785,23,Yes,Yes,Good,Owned,13.68,Semi-Urban,96918.5,14.05,Eligible,1328525.43
40,122364.0,57549.8,716,32,Permanent,Salaried,Car Loan,Car Purchase,Master's,547348,19,Yes,Yes,Good,Company Provided,14.71,Urban,223252.0,3.33,Eligible,1207979.3250000002
48,63919.0,19367.0,676,6,Permanent,Business Owner,Personal Loan,Education,PhD,1398881,19,Yes,No,Average,Company Provided,14.08,Semi-Urban,899087.0,11.68,Not Eligible,615206.43
27,35037.0,52407.6,759,3,Permanent,Salaried,Car Loan,Car Purchase,High School,630273,26,Yes,Yes,Good,Rented,14.71,Urban,349035.0,6.19,Eligible,128047.005
64,108535.0,17002.0,870,27,Contract Based,Business Owner,Home Loan,Business Expansion,Bachelor's,2976435,16,Yes,Yes,Average,Owned,13.87,Rural,707663.0,13.72,Not Eligible,1084807.63
28,188973.0,63573.99999999999,799,22,Permanent,Salaried,Car Loan,Education,High School,509584,19,Yes,Yes,Good,Company Provided,6.13,Urban,361460.0,5.62,Eligible,1869464.295
55,38547.0,45464.3,834,31,Permanent,Salaried,Personal Loan,Car Purchase,PhD,1638707,17,Yes,Yes,Good,Owned,9.38,Rural,175547.0,11.02,Eligible,323572.635
34,130213.5,14489.999999999998,757,15,Permanent,Salaried,Education Loan,House Purchase,PhD,143848,13,Yes,Yes,Good,Company Provided,5.76,Semi-Urban,310868.0,4.14,Eligible,667640.925
37,169618.5,59013.49999999999,715,9,Permanent,Salaried,Car Loan,Car Purchase,Bachelor's,771989,28,Yes,Yes,Good,Company Provided,10.45,Urban,164968.5,14.45,Eligible,643389.84
56,113707.5,47280.1,703,13,Permanent,Salaried,Personal Loan,Business Expansion,PhD,548870,8,Yes,Yes,Good,Rented,10.3,Urban,123608.5,2.06,Eligible,321254.355
60,182421.0,34318.0,488,38,Permanent,Business Owner,Car Loan,Car Purchase,Bachelor's,211228,28,No,No,Average,Rented,14.22,Urban,991942.0,5.03,Not Eligible,440691.53
24,142549.5,66401.3,812,35,Permanent,Salaried,Car Loan,Medical Emergency,Bachelor's,431562,11,Yes,Yes,Good,Rented,14.7,Semi-Urban,165604.5,10.79,Eligible,1221138.75
22,118239.0,32610.0,831,33,Permanent,Salaried,Education Loan,Medical Emergency,High School,472260,18,Yes,Yes,Good,Company Provided,7.6,Rural,183311.0,13.1,Not Eligible,1130896.08
26,225610.5,54249.3,731,23,Permanent,Salaried,Personal Loan,Education,Master's,1098042,11,Yes,Yes,Good,Rented,10.82,Urban,296370.5,14.92,Eligible,1845597.345
62,64041.0,78374.0,725,17,New Joining,Business Owner,Personal Loan,Medical Emergency,Master's,1252127,23,No,No,Poor,Owned,9.64,Rural,685509.0,4.25,Not Eligible,516958.85
24,77931.0,49158.2,753,15,Permanent,Salaried,Personal Loan,Business Expansion,PhD,1513044,9,Yes,Yes,Good,Owned,10.47,Rural,365250.0,5.99,Eligible,414704.7
49,42003.0,35116.899999999994,734,36,Permanent,Salaried,Home Loan,House Purchase,Master's,2206537,14,Yes,Yes,Good,Company Provided,10.32,Rural,118600.0,13.59,Eligible,299458.19999999995
38,134674.5,57945.3,749,24,Permanent,Salaried,Car Loan,House Purchase,PhD,560860,2,Yes,Yes,Good,Rented,14.14,Urban,436739.0,2.42,Eligible,992514.0
46,127524.0,32939.0,712,7,Permanent,Business Owner,Education Loan,Education,Master's,747129,29,Yes,No,Good,Company Provided,13.96,Rural,166305.0,11.53,Not Eligible,517521.99
64,144857.0,66365.0,308,23,Permanent,Self-Employed,Personal Loan,Education,High School,738487,17,Yes,Yes,Good,Company Provided,6.23,Urban,444959.0,7.5,Not Eligible,1145737.17
54,59607.0,50666.7,785,19,Permanent,Salaried,Education Loan,Medical Emergency,Master's,692246,21,Yes,Yes,Good,Owned,8.45,Rural,123363.5,10.95,Eligible,188890.755
30,46054.5,36197.0,787,29,Permanent,Salaried,Home Loan,Business Expansion,PhD,1577467,16,Yes,Yes,Good,Rented,12.53,Rural,274668.5,8.82,Eligible,200228.82
56,133776.0,21766.0,769,19,Contract Based,Salaried,Home Loan,Medical Emergency,PhD,3744486,26,Yes,Yes,Good,Owned,11.84,Urban,773038.0,10.15,Not Eligible,898662.62
34,163464.0,17780.0,805,17,Permanent,Self-Employed,Education Loan,Business Expansion,Master's,748473,5,No,Yes,Average,Rented,11.31,Urban,199999.0,10.67,Not Eligible,1032535.73
51,64724.0,53458.0,372,3,Contract Based,Business Owner,Personal Loan,Business Expansion,Bachelor's,1055181,1,No,Yes,Good,Rented,14.94,Semi-Urban,726411.0,10.21,Not Eligible,494274.65
35,78448.5,42854.7,710,35,Permanent,Salaried,Education Loan,House Purchase,High School,100509,9,Yes,Yes,Good,Company Provided,8.37,Semi-Urban,243502.0,10.64,Eligible,522726.6750000001
28,35641.0,6509.0,358,5,Permanent,Self-Employed,Personal Loan,Business Expansion,Bachelor's,1418169,3,No,Yes,Good,Rented,10.15,Semi-Urban,916913.0,9.39,Not Eligible,85408.23
34,149301.0,66145.09999999999,807,2,Permanent,Salaried,Personal Loan,Car Purchase,Master's,1397425,14,Yes,Yes,Good,Rented,14.79,Rural,141820.5,11.28,Eligible,1466378.28
43,39457.5,27542.2,799,17,Permanent,Salaried,Home Loan,Business Expansion,Bachelor's,4829743,18,Yes,Yes,Good,Company Provided,11.96,Semi-Urban,312387.5,12.09,Eligible,319917.93
60,58173.0,61459.3,770,39,Permanent,Salaried,Education Loan,House Purchase,Master's,356551,12,Yes,Yes,Good,Owned,11.49,Semi-Urban,99237.5,12.24,Eligible,526084.59
41,147385.5,36311.8,753,17,Permanent,Salaried,Home Loan,Medical Emergency,PhD,2336249,23,Yes,Yes,Good,Owned,6.55,Semi-Urban,32941.5,13.1,Eligible,1242669.8250000002
36,97963.0,31148.0,872,22,Contract Based,Salaried,Car Loan,Business Expansion,Bachelor's,775789,14,Yes,No,Good,Owned,7.47,Rural,181428.0,6.11,Not Eligible,362379.79
38,212980.5,25573.1,795,34,Permanent,Salaried,Home Loan,Car Purchase,High School,3438096,28,Yes,Yes,Good,Rented,8.77,Semi-Urban,453787.5,11.7,Eligible,2015151.21
44,257457.0,58426.9,760,5,Permanent,Salaried,Personal Loan,Education,Bachelor's,678801,16,Yes,Yes,Good,Rented,9.65,Urban,111824.0,14.31,Eligible,2541787.89
46,216886.5,4451.299999999999,835,25,Permanent,Salaried,Education Loan,Medical Emergency,PhD,586610,5,Yes,Yes,Good,Company Provided,9.97,Rural,231900.0,6.78,Eligible,570276.5249999999
45,87766.0,95068.0,421,20,New Joining,Self-Employed,Car Loan,Education,PhD,651046,20,Yes,Yes,Good,Company Provided,14.02,Rural,756295.0,12.11,Not Eligible,286773.8
61,39766.5,45719.1,721,23,Permanent,Salaried,Car Loan,Car Purchase,PhD,438197,20,Yes,Yes,Good,Company Provided,6.07,Urban,324450.5,5.79,Eligible,394577.1750000001
49,134816.0,25344.0,481,14,Permanent,Self-Employed,Car Loan,House Purchase,Bachelor's,894547,15,Yes,Yes,Average,Owned,7.48,Semi-Urban,575198.0,4.28,Not Eligible,586141.81
35,265873.5,52344.6,760,26,Permanent,Salaried,Car Loan,House Purchase,PhD,330338,9,Yes,Yes,Good,Rented,6.44,Semi-Urban,29518.0,7.8,Eligible,2275457.445
21,37147.5,17920.699999999997,741,31,Permanent,Salaried,Education Loan,Medical Emergency,PhD,484404,25,Yes,Yes,Good,Company Provided,12.35,Urban,410078.5,12.48,Eligible,96328.845
45,171426.0,24116.0,369,11,Permanent,Business Owner,Personal Loan,Business Expansion,Bachelor's,1728736,17,No,No,Good,Rented,14.71,Semi-Urban,594775.0,5.99,Not Eligible,1347327.35
27,43929.0,61985.0,459,4,Permanent,Business Owner,Car Loan,Business Expansion,Bachelor's,570551,12,Yes,No,Good,Company Provided,13.94,Semi-Urban,505504.0,5.83,Not Eligible,334350.65
29,269838.0,25047.4,702,6,Permanent,Salaried,Personal Loan,Education,Master's,654545,13,Yes,Yes,Good,Company Provided,12.23,Semi-Urban,358861.0,5.61,Eligible,2563773.09
44,197364.0,38373.3,821,21,Permanent,Salaried,Home Loan,House Purchase,Bachelor's,2809267,10,Yes,Yes,Good,Owned,5.22,Rural,274075.5,4.84,Eligible,1545307.605
21,180595.0,89416.0,437,26,Permanent,Business Owner,Personal Loan,Business Expansion,PhD,1000732,7,No,Yes,Average,Owned,8.47,Urban,572349.0,9.94,Not Eligible,421002.52
64,91088.0,74035.0,794,14,Permanent,Self-Employed,Car Loan,Business Expansion,High School,758001,27,No,Yes,Good,Rented,13.64,Semi-Urban,793424.0,5.16,Not Eligible,510422.74
28,97525.0,49458.0,546,38,Contract Based,Self-Employed,Home Loan,House Purchase,PhD,4294940,24,Yes,Yes,Good,Rented,11.53,Urban,738683.0,14.15,Not Eligible,466474.26
44,50670.0,67589.2,803,34,Permanent,Salaried,Home Loan,House Purchase,PhD,1996083,21,Yes,Yes,Good,Company Provided,7.1,Rural,80609.5,6.5,Eligible,332689.62
31,26589.0,13080.0,823,25,Permanent,Self-Employed,Home Loan,Car Purchase,PhD,4197544,7,Yes,Yes,Good,Owned,9.66,Semi-Urban,681497.0,9.05,Not Eligible,144287.35
37,185884.0,93743.0,542,22,Permanent,Salaried,Car Loan,Education,Bachelor's,731433,8,No,Yes,Good,Rented,5.88,Urban,160891.0,7.32,Not Eligible,789401.99
28,170496.0,27269.9,818,12,Permanent,Salaried,Personal Loan,House Purchase,High School,586163,24,Yes,Yes,Good,Owned,10.21,Rural,194241.0,14.52,Eligible,1242636.06
55,295516.5,13235.6,798,25,Permanent,Salaried,Education Loan,Car Purchase,PhD,553063,15,Yes,Yes,Good,Rented,14.01,Rural,287333.0,7.51,Eligible,1326599.43
55,186282.0,66899.0,750,2,Permanent,Salaried,Personal Loan,House Purchase,Bachelor's,872427,25,Yes,Yes,Good,Rented,5.39,Urban,53583.0,9.33,Eligible,1640261.19
53,169989.0,67426.8,758,28,Permanent,Salaried,Car Loan,Medical Emergency,Master's,222642,21,Yes,Yes,Good,Owned,11.14,Semi-Urban,494025.0,11.92,Eligible,779221.125
25,60953.0,83287.0,805,1,Permanent,Salaried,Car Loan,Medical Emergency,High School,214990,18,No,Yes,Good,Rented,7.33,Semi-Urban,75785.0,4.23,Not Eligible,373195.36
62,85785.0,52482.0,580,27,Contract Based,Salaried,Home Loan,Medical Emergency,High School,2395501,22,Yes,Yes,Good,Rented,14.9,Urban,936856.0,2.42,Not Eligible,738452.18
59,39309.0,43314.0,738,22,Permanent,Business Owner,Personal Loan,House Purchase,Bachelor's,531463,1,No,No,Good,Owned,5.65,Rural,271255.0,7.91,Not Eligible,337393.61
61,74195.0,79921.0,782,35,Contract Based,Salaried,Car Loan,Business Expansion,Master's,791918,10,No,Yes,Good,Owned,11.17,Urban,988430.0,9.16,Not Eligible,496270.86
48,68851.5,62137.6,759,5,Permanent,Salaried,Car Loan,Business Expansion,PhD,994709,22,Yes,Yes,Good,Rented,7.56,Urban,406444.5,5.73,Eligible,346967.955
27,261972.0,14581.7,760,10,Permanent,Salaried,Education Loan,Medical Emergency,Master's,355985,19,Yes,Yes,Good,Rented,13.82,Rural,360005.5,8.01,Eligible,1693260.1800000002
29,182580.0,25125.0,491,37,New Joining,Salaried,Personal Loan,Education,High School,1924289,29,Yes,No,Average,Owned,6.22,Urban,645399.0,10.0,Not Eligible,1606241.78
28,68196.0,47215.7,808,33,Permanent,Salaried,Home Loan,Car Purchase,Bachelor's,3496823,3,Yes,Yes,Good,Rented,9.29,Rural,9487.5,14.65,Eligible,255752.025
32,54390.0,35495.6,779,16,Permanent,Salaried,Home Loan,Medical Emergency,Master's,3741737,7,Yes,Yes,Good,Rented,6.85,Rural,457997.0,9.82,Eligible,162075.72
54,144997.0,22682.0,606,2,New Joining,Self-Employed,Home Loan,Car Purchase,PhD,4741872,4,No,No,Good,Rented,12.99,Urban,167974.0,7.84,Not Eligible,965137.41
53,55440.0,87824.0,831,33,Permanent,Self-Employed,Personal Loan,Car Purchase,Master's,874475,5,Yes,No,Good,Company Provided,8.51,Urban,658119.0,2.29,Not Eligible,365479.54
43,172623.0,28555.8,774,21,Permanent,Salaried,Car Loan,Medical Emergency,Master's,637784,6,Yes,Yes,Good,Owned,6.87,Urban,395652.5,6.04,Eligible,750079.02
44,188374.5,45060.4,749,28,Permanent,Salaried,Car Loan,Business Expansion,Bachelor's,759482,28,Yes,Yes,Good,Company Provided,12.26,Semi-Urban,296658.5,6.66,Eligible,1031479.695
57,76683.0,44477.0,453,28,Contract Based,Salaried,Education Loan,Education,Bachelor's,505612,10,Yes,No,Good,Company Provided,13.17,Rural,145015.0,8.2,Not Eligible,207675.03
55,216309.0,41204.1,707,4,Permanent,Salaried,Education Loan,Medical Emergency,High School,245585,12,Yes,Yes,Good,Company Provided,9.62,Rural,194128.5,12.17,Eligible,658894.98
64,288753.0,66458.7,824,9,Permanent,Salaried,Car Loan,Car Purchase,Bachelor's,377745,14,Yes,Yes,Good,Company Provided,8.79,Rural,105755.0,12.09,Eligible,2490972.45
60,229588.5,30615.9,708,9,Permanent,Salaried,Car Loan,House Purchase,Master's,927482,22,Yes,Yes,Good,Rented,11.32,Rural,366795.5,12.99,Eligible,1312278.585
42,176177.0,7620.0,358,8,Permanent,Self-Employed,Personal Loan,House Purchase,PhD,996930,2,No,No,Good,Company Provided,11.51,Rural,536980.0,5.77,Not Eligible,493032.12
47,147726.0,28039.9,780,20,Permanent,Salaried,Education Loan,Car Purchase,High School,538629,3,Yes,Yes,Good,Company Provided,11.61,Semi-Urban,57909.0,6.5,Eligible,1432195.845
55,246147.0,31596.6,815,12,Permanent,Salaried,Home Loan,Medical Emergency,Bachelor's,1578389,1,Yes,Yes,Good,Owned,7.76,Rural,294154.0,3.95,Eligible,905705.655
21,132463.5,59072.99999999999,836,9,Permanent,Salaried,Home Loan,Business Expansion,Master's,4908767,3,Yes,Yes,Good,Rented,14.41,Semi-Urban,425105.0,13.15,Eligible,600757.6499999999
55,98890.5,40616.8,770,37,Permanent,Salaried,Home Loan,Medical Emergency,Master's,3025688,24,Yes,Yes,Good,Rented,7.13,Urban,153456.0,10.48,Eligible,967176.795
57,62946.0,14677.0,426,10,Permanent,Salaried,Home Loan,Education,High School,1506749,15,No,Yes,Average,Owned,8.74,Urban,469132.0,3.01,Not Eligible,216980.33
34,146503.0,49111.0,704,3,Permanent,Self-Employed,Car Loan,House Purchase,High School,841537,16,Yes,No,Average,Rented,7.84,Semi-Urban,571212.0,5.95,Not Eligible,1428375.47
23,242173.5,20351.8,808,30,Permanent,Salaried,Car Loan,Car Purchase,Bachelor's,645569,20,Yes,Yes,Good,Rented,14.31,Rural,311070.5,3.99,Eligible,1883605.77
21,110388.0,15976.8,726,33,Permanent,Salaried,Personal Loan,Business Expansion,Bachelor's,666996,2,Yes,Yes,Good,Owned,13.28,Rural,324304.5,14.6,Eligible,597793.2749999999
25,158419.0,5765.0,797,34,Permanent,Salaried,Home Loan,Medical Emergency,PhD,2489240,20,No,Yes,Good,Rented,13.11,Rural,847564.0,6.22,Not Eligible,1070822.72
46,53776.0,50439.0,827,38,Permanent,Business Owner,Car Loan,Education,High School,210656,16,Yes,Yes,Average,Company Provided,5.05,Rural,569291.0,8.45,Not Eligible,326051.24
34,154855.0,53926.0,697,38,Contract Based,Salaried,Car Loan,Medical Emergency,High School,309760,15,No,Yes,Average,Company Provided,11.86,Rural,94353.0,6.13,Not Eligible,1306651.36
59,75798.0,41860.0,564,32,Contract Based,Business Owner,Car Loan,Education,Master's,648941,7,No,Yes,Average,Company Provided,7.3,Semi-Urban,266502.0,8.17,Not Eligible,189702.9
47,155370.0,17975.0,562,7,New Joining,Salaried,Home Loan,Medical Emergency,PhD,3894516,25,Yes,Yes,Average,Owned,14.68,Semi-Urban,563137.0,14.98,Not Eligible,1321753.69
29,90204.0,79877.0,697,31,Permanent,Self-Employed,Car Loan,Business Expansion,Bachelor's,467041,5,Yes,Yes,Good,Rented,10.31,Semi-Urban,933645.0,5.74,Not Eligible,880839.23
35,106207.0,98677.0,826,32,Permanent,Salaried,Education Loan,Business Expansion,PhD,202745,29,Yes,Yes,Good,Rented,10.65,Urban,195278.0,5.67,Not Eligible,577403.22
35,180534.0,58008.99999999999,837,7,Permanent,Salaried,Home Loan,Car Purchase,PhD,3172454,5,Yes,Yes,Good,Rented,8.56,Urban,138795.0,6.83,Eligible,637505.0700000001
46,120978.0,60459.7,849,13,Permanent,Salaried,Home Loan,Business Expansion,Master's,4744996,28,Yes,Yes,Good,Rented,10.37,Semi-Urban,340928.5,4.2,Eligible,347264.145
62,278334.0,22083.6,766,33,Permanent,Salaried,Education Loan,Education,High School,215738,21,Yes,Yes,Good,Owned,12.5,Semi-Urban,246767.5,11.61,Eligible,1328778.9
33,149572.0,95575.0,540,7,Permanent,Self-Employed,Personal Loan,Car Purchase,High School,1683806,26,No,Yes,Average,Rented,10.62,Urban,364294.0,6.93,Not Eligible,455481.82
52,40922.0,43736.0,521,6,Contract Based,Self-Employed,Personal Loan,Business Expansion,High School,1695973,9,Yes,No,Average,Owned,11.41,Semi-Urban,59606.0,9.55,Not Eligible,157046.07
59,185100.0,66562.0,513,12,Contract Based,Self-Employed,Home Loan,House Purchase,Bachelor's,2126295,23,No,No,Average,Company Provided,9.72,Urban,336161.0,10.6,Not Eligible,1339288.99
52,171388.0,45409.0,891,20,Contract Based,Business Owner,Home Loan,Education,High School,1971400,14,No,Yes,Good,Owned,12.16,Urban,770683.0,2.46,Not Eligible,912851.14
24,145494.0,62370.7,834,31,Permanent,Salaried,Home Loan,Car Purchase,PhD,3465896,19,Yes,Yes,Good,Rented,14.0,Semi-Urban,156852.5,10.37,Eligible,1339732.485
50,252060.0,10383.8,788,10,Permanent,Salaried,Education Loan,Education,PhD,256293,18,Yes,Yes,Good,Owned,5.51,Semi-Urban,157430.0,8.93,Eligible,1439571.225
57,75399.0,4088.0,767,13,Permanent,Salaried,Car Loan,Car Purchase,High School,678072,9,Yes,Yes,Good,Rented,6.07,Urban,54942.5,3.08,Eligible,243749.955
43,262608.0,59086.3,775,10,Permanent,Salaried,Education Loan,Education,PhD,462987,3,Yes,Yes,Good,Owned,11.86,Semi-Urban,284091.0,3.62,Eligible,816482.9249999999
59,165083.0,36568.0,861,1,Permanent,Salaried,Car Loan,House Purchase,Bachelor's,387350,29,No,Yes,Good,Rented,8.78,Rural,312685.0,7.73,Not Eligible,1245542.65
